path,filename,suffix,y_min,y_max,x_min,x_max
../data/,20240412,_A_01.ASC,0.005,0.57,17000,28900
../data/,20240412,_A_01.ASC,0.005,0.45,46900,62500
../data/,20240412,_A_01.ASC,0.05,0.7,61000,67000
../data/,20240412,_A_01.ASC,0.05,0.7,66000,80000
../data/,20240412,_A_01.ASC,0.05,0.48,79000,84000
../data/,20240412,_A_01.ASC,0.05,0.45,87000,100000
../data/,20240412,_A_01.ASC,0.04,0.38,100000,105864
../data/,20240412,_A_01.ASC,0.04,0.38,117867,133280
../data/,20240412,_A_01.ASC,0.034,0.3,132460,139009
../data/,20240412,_A_01.ASC,0.034,0.3,139000,151148
